id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUSq,fileID
3835,12,GPS,32.4,0.87,127,43,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3836,21,GPS,32.1,0.87,227,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3837,24,GPS,18.2,0.87,175,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3838,25,GPS,22.9,0.87,54,87,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3839,29,GPS,16.7,0.87,319,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3840,31,GPS,16.3,0.87,298,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3841,5,Beidou,24.3,0.99,149,47,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3842,8,Beidou,14.4,0.99,46,10,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3843,13,Beidou,13.2,0.99,43,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3844,16,Beidou,18.6,0.99,102,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3845,1,Galileo,24.7,0.92,180,60,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3846,12,Galileo,19.6,0.92,247,18,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3847,24,Galileo,18.3,0.92,323,5,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3848,26,Galileo,11.4,0.92,37,46,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3849,18,Glonass,14.8,-0.46,350,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3850,9,Glonass,21.3,-0.46,327,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3851,15,Glonass,25,-0.46,172,26,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3852,19,Glonass,15.6,-0.46,272,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3853,17,Glonass,15.6,-0.46,42,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3854,3,Glonass,26.6,-0.46,116,11,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3855,2,GPS,20.7,-0.44,43,33,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3856,5,GPS,24.6,-0.44,94,37,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3857,12,GPS,33,-0.44,127,43,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3858,21,GPS,32.2,-0.44,227,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3859,24,GPS,20.3,-0.44,175,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3860,25,GPS,23.8,-0.44,54,87,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3861,29,GPS,18.3,-0.44,319,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3862,31,GPS,16.8,-0.44,298,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3863,5,Beidou,24.3,-0.21,149,47,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3864,8,Beidou,16.1,-0.21,46,10,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3865,13,Beidou,13.2,-0.21,43,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3866,16,Beidou,18.6,-0.21,102,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3867,1,Galileo,25.7,-0.4,180,60,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3868,12,Galileo,20,-0.4,247,18,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3869,24,Galileo,19.1,-0.4,323,5,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3870,26,Galileo,11.4,-0.4,37,46,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3871,18,Glonass,14.5,-0.35,350,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3872,9,Glonass,19.6,-0.35,327,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3873,15,Glonass,24.2,-0.35,172,26,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3874,19,Glonass,15.6,-0.35,272,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3875,17,Glonass,15.6,-0.35,42,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
