id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID,,,,,,
158,20,Beidou,28.5,-0.85,0,0,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
159,24,Beidou,33.2,-0.85,0,0,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
160,10,Glonass,25,-2.8,157,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
161,6,Glonass,15.6,-2.8,88,7,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
162,22,Glonass,37.8,-2.8,292,57,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
163,13,Glonass,18.6,-2.8,331,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
164,12,Glonass,34.1,-2.8,312,60,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
165,11,Glonass,38.4,-2.8,177,62,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
166,5,Glonass,22.4,-2.8,36,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
167,23,Glonass,25.2,-2.8,244,12,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
168,21,Glonass,32.9,-2.8,25,37,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
169,2,GPS,32.9,-4.07,46,49,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
170,5,GPS,33,-4.07,115,28,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
171,6,GPS,21.3,-4.07,39,4,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
172,12,GPS,36.3,-4.07,104,58,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
173,21,GPS,27.9,-4.07,219,8,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
174,24,GPS,35.3,-4.07,182,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
175,25,GPS,40.8,-4.07,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
176,29,GPS,41.5,-4.07,291,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
177,31,GPS,36.7,-4.07,314,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
178,2,Beidou,20.9,-3.52,119,30,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
179,5,Beidou,30.6,-3.52,149,47,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
180,8,Beidou,17.8,-3.52,42,15,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
181,10,Beidou,19.5,-3.52,137,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
182,12,Beidou,31.6,-3.52,272,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
183,13,Beidou,31.7,-3.52,40,40,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
184,19,Beidou,31.7,-3.52,0,0,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
185,20,Beidou,25.4,-3.52,0,0,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
186,24,Beidou,33.1,-3.52,0,0,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
187,10,Glonass,26.5,-1.31,157,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
188,6,Glonass,15,-1.31,88,7,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
189,22,Glonass,34.1,-1.31,292,57,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
190,13,Glonass,22.3,-1.31,331,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
191,12,Glonass,36.4,-1.31,312,60,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
192,11,Glonass,37.5,-1.31,177,62,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
193,5,Glonass,23.3,-1.31,36,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
194,23,Glonass,29.9,-1.31,244,12,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
195,21,Glonass,34.5,-1.31,25,37,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
196,2,GPS,33.8,-1.44,46,49,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
197,5,GPS,32.5,-1.44,115,28,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
198,6,GPS,21.4,-1.44,39,4,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
199,12,GPS,38.7,-1.44,104,58,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
200,21,GPS,26,-1.44,219,8,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
201,24,GPS,29.1,-1.44,182,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
202,25,GPS,40.4,-1.44,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
203,29,GPS,39.9,-1.44,291,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
204,31,GPS,37,-1.44,314,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
205,10,Glonass,25.4,-3.61,157,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
206,6,Glonass,15,-3.61,88,7,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
207,22,Glonass,34.8,-3.61,292,57,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
208,13,Glonass,22,-3.61,331,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
209,12,Glonass,31.4,-3.61,312,60,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
210,11,Glonass,36.7,-3.61,177,62,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
211,5,Glonass,17.1,-3.61,36,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
212,23,Glonass,33.5,-3.61,244,12,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
213,21,Glonass,36.3,-3.61,25,37,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
214,2,GPS,32.6,-2.64,46,49,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
215,5,GPS,36.9,-2.64,115,28,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
216,6,GPS,19.5,-2.64,39,4,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
217,12,GPS,38,-2.64,104,58,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
218,21,GPS,25.9,-2.64,219,8,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
219,24,GPS,33.8,-2.64,182,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
220,25,GPS,40.9,-2.64,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
221,29,GPS,41.2,-2.64,291,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
222,31,GPS,39.5,-2.64,314,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
223,2,Beidou,20.9,-2.91,119,30,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
224,5,Beidou,32.4,-2.91,149,47,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
225,8,Beidou,20.6,-2.91,42,15,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
226,10,Beidou,20.9,-2.91,137,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
227,12,Beidou,29.8,-2.91,272,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
228,13,Beidou,28.2,-2.91,40,40,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
229,19,Beidou,30.3,-2.91,0,0,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
