id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72
13992,4,Glonass,33.3,-0.09,90,54,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13993,5,GPS,23.4,2.79,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13994,10,GPS,33,2.79,203,29,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13995,16,GPS,28.8,2.79,307,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13996,20,GPS,37.2,2.79,199,58,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13997,21,GPS,27.1,2.79,338,66,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13998,26,GPS,32.7,2.79,274,49,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13999,29,GPS,35,2.79,98,46,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14000,31,GPS,25,2.79,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14001,9,Glonass,30.1,-0.09,236,22,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14002,11,Glonass,26.1,-0.09,337,2,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14003,5,Glonass,37.3,-0.09,163,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14004,3,Glonass,29.8,-0.09,32,19,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14005,4,Glonass,30.8,-0.09,90,54,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14006,10,GPS,31.3,2.79,203,29,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14007,15,GPS,27,2.79,102,23,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14008,16,GPS,23.4,2.79,307,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14009,20,GPS,38,2.79,199,58,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14010,21,GPS,28.1,2.79,338,66,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14011,25,GPS,28.3,2.79,167,11,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14012,26,GPS,33.8,2.79,274,49,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14013,27,GPS,25.9,2.79,306,5,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14014,29,GPS,33.8,2.79,98,46,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14015,31,GPS,26.7,2.79,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14016,10,Glonass,25.6,-0.09,291,26,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
